# CB0 = 2.100000
# t /s, C /M, C /M, C /M
0.000, 0.0341, 0.0192, 0.0152
0.075, 0.0341, 0.0192, 0.0148
0.150, 0.0339, 0.0189, 0.0151
0.225, 0.0338, 0.0185, 0.0148
0.300, 0.0337, 0.0190, 0.0150
0.375, 0.0338, 0.0190, 0.0147
0.450, 0.0333, 0.0186, 0.0148
0.525, 0.0336, 0.0191, 0.0153
0.600, 0.0332, 0.0189, 0.0147
0.675, 0.0332, 0.0186, 0.0148
0.750, 0.0325, 0.0187, 0.0148
0.825, 0.0327, 0.0183, 0.0146
0.900, 0.0325, 0.0190, 0.0147
0.975, 0.0325, 0.0190, 0.0148
1.050, 0.0323, 0.0188, 0.0149
1.125, 0.0325, 0.0184, 0.0148
1.200, 0.0321, 0.0182, 0.0147
1.275, 0.0324, 0.0186, 0.0145
1.350, 0.0320, 0.0183, 0.0146
1.425, 0.0321, 0.0183, 0.0147
1.500, 0.0317, 0.0188, 0.0143
1.575, 0.0315, 0.0187, 0.0147
1.650, 0.0316, 0.0185, 0.0142
1.725, 0.0315, 0.0180, 0.0148
1.800, 0.0314, 0.0179, 0.0145
1.875, 0.0312, 0.0181, 0.0142
1.950, 0.0313, 0.0181, 0.0144
2.025, 0.0314, 0.0182, 0.0145
2.100, 0.0315, 0.0182, 0.0144
2.175, 0.0310, 0.0183, 0.0147
2.250, 0.0311, 0.0179, 0.0141
2.325, 0.0304, 0.0181, 0.0146
2.400, 0.0303, 0.0176, 0.0143
2.475, 0.0307, 0.0181, 0.0141
2.550, 0.0307, 0.0177, 0.0145
2.625, 0.0303, 0.0177, 0.0144
2.700, 0.0303, 0.0178, 0.0140
2.775, 0.0303, 0.0180, 0.0139
2.850, 0.0299, 0.0177, 0.0142
2.925, 0.0302, 0.0178, 0.0143
3.000, 0.0298, 0.0177, 0.0142
3.075, 0.0299, 0.0175, 0.0136
3.150, 0.0298, 0.0178, 0.0145
3.225, 0.0297, 0.0173, 0.0143
3.300, 0.0295, 0.0175, 0.0141
3.375, 0.0298, 0.0175, 0.0144
3.450, 0.0293, 0.0176, 0.0138
3.525, 0.0291, 0.0173, 0.0140
3.600, 0.0294, 0.0174, 0.0142
3.675, 0.0289, 0.0172, 0.0141
3.750, 0.0287, 0.0174, 0.0139
3.825, 0.0290, 0.0172, 0.0141
3.900, 0.0288, 0.0174, 0.0140
3.975, 0.0289, 0.0172, 0.0136
4.050, 0.0291, 0.0169, 0.0137
4.125, 0.0284, 0.0175, 0.0141
4.200, 0.0287, 0.0175, 0.0137
4.275, 0.0285, 0.0175, 0.0139
4.350, 0.0283, 0.0169, 0.0140
4.425, 0.0283, 0.0170, 0.0136
4.500, 0.0281, 0.0170, 0.0136
4.575, 0.0281, 0.0170, 0.0138
4.650, 0.0280, 0.0172, 0.0136
4.725, 0.0284, 0.0169, 0.0139
4.800, 0.0281, 0.0168, 0.0137
4.875, 0.0280, 0.0167, 0.0139
4.950, 0.0277, 0.0164, 0.0135
5.025, 0.0278, 0.0170, 0.0139
5.100, 0.0277, 0.0171, 0.0135
5.175, 0.0277, 0.0166, 0.0136
5.250, 0.0273, 0.0169, 0.0135
5.325, 0.0271, 0.0166, 0.0136
5.400, 0.0272, 0.0166, 0.0133
5.475, 0.0272, 0.0167, 0.0133
5.550, 0.0266, 0.0168, 0.0133
5.625, 0.0269, 0.0167, 0.0138
5.700, 0.0274, 0.0169, 0.0134
5.775, 0.0267, 0.0168, 0.0136
5.850, 0.0267, 0.0165, 0.0131
5.925, 0.0267, 0.0166, 0.0132
6.000, 0.0267, 0.0163, 0.0136
6.075, 0.0266, 0.0162, 0.0133
6.150, 0.0267, 0.0164, 0.0134
6.225, 0.0263, 0.0164, 0.0134
6.300, 0.0266, 0.0161, 0.0133
6.375, 0.0263, 0.0164, 0.0138
